u,v,length
277419852,308897855,443.8001757305294
308897855,277419868,277.41151697854275
277419868,10209450955,224.4770871812944
10209450955,315999106,320.27987165816194
277420414,1987490179,170.05105831315743
277420414,1987490177,195.6767475142794
1987490179,1987490177,33.62042853338798
1987490179,12785090724,73.085589979004
1987490177,12785090723,18.948746857262858
278164996,841773942,71.61081911080181
841773942,841773947,128.48519126758376
841773942,10223510632,118.73750257440173
283639839,1818312418,65.1400094690475
283639839,5482019997,24.52653418034581
1818312418,6639995379,8.358383805344804
5482019997,6618870109,31.58466053494209
283640017,9827873818,102.73910574605021
283640017,851995407,26.83013693360426
9827873818,4221081262,67.55547920422676
9827873818,11486574831,23.804984861473635
9827873818,283640017,102.73910574605023
851995407,9832408450,31.464087598003548
851995407,11486574829,66.90835543199944
300136287,3891693494,12.527518946856091
300136287,3891693490,110.93465501440973
3891693494,9843255253,12.098826273538402
3891693494,841516295,175.2632154078623
3891693490,1827513607,78.40783559252039
3891693490,12765878235,70.08921956258632
301037157,841778034,65.0866014808264
841778034,9860270847,52.774943917695246
841778034,847745074,38.31881118963619
301037158,851867172,61.02442824585864
301037158,851867860,10.895803195708458
851867172,851867654,405.5376584706572
851867860,316066258,9.959938257030869
851867860,851867089,45.85307260776406
301037164,6755829662,19.824602341019833
301037164,301037167,10.577400945023738
6755829662,12771463515,11.934569511467954
6755829662,6191395375,108.66488177640713
301037167,6192037419,7.513680917181429
6192037419,11821721117,271.53103079450347
6192037419,6737994209,356.8980325672107
301037170,4676813713,64.2216227632966
4676813713,11821712143,147.488541734927
301037171,4676813717,80.95637195946878
301037171,301037170,10.261983416276674
4676813717,6277807007,197.01525187449843
301037177,841773881,14.042013107232458
301037177,850010209,227.73972942083637
841773881,849943585,83.85483144321189
850010209,850010124,86.70767579144477
850010209,850010154,8.627086960177852
307369559,4950886792,12.715786866119053
307369559,7256804855,29.34073214596832
4950886792,307369559,12.715786866119053
4950886792,11484533779,28.497204636475377
4950886792,9841056434,58.58594070823773
7256804855,11484533779,12.403343745624179
7256804855,7256804847,29.399604703233244
307369586,11397521670,4.453336913292176
307369586,307369628,8.920285481377048
11397521670,851993978,479.49683966163553
11397521670,11397496265,738.7202737490819
307369628,12250242892,101.07986893252172
12250242892,12237343877,49.03000956856067
12250242892,12250249409,126.91383542282239
307369643,851995554,13.163255929619032
307369643,851867854,449.0400265662521
851995554,851994052,10.229597139826874
851995554,851994554,552.4503394557343
851867854,851867159,8.967708147220128
308729333,799269364,16.771505907184647
308729333,799269179,63.41358165876896
799269364,799268999,11.441673293868135
799269364,799269101,205.64246425687125
799269179,799268748,29.555785547842575
799269179,799269383,104.81406064083365
308729713,9843232914,6.493419866714134
308729713,2403406654,47.05249473824061
9843232914,2403406648,29.04058489388999
2403406654,836340174,262.38060964882806
308730069,802911511,263.77446898378935
308730069,12888515577,329.11200725401545
802911511,802911718,129.4117309174122
802911511,308730069,263.7744689837894
802911511,802911784,232.6052839358552
12888515577,3514801694,68.80078712795472
12888515577,12888515580,33.97258653269276
308896083,841773895,85.26801597309674
308896083,841773816,71.54396096735462
308896083,848553971,154.1772357789805
841773895,841774028,222.43381663883136
841773895,308896083,85.26801597309674
841773895,841773667,22.589549432183055
841773816,308896083,71.54396096735462
841773816,11491468178,84.28739021722404
841773816,11080007051,184.9653307934141
848553971,841773706,66.86674227969911
848553971,848554034,120.55852991849653
848553971,308896083,154.1772357789805
308896309,848529986,21.009679621458922
308896309,847791446,96.46795332755957
848529986,308896309,21.009679621458922
848529986,308896310,579.6888969286451
848529986,848530013,798.1305325481361
