id,x,y
277419852,725914.5335145221,3162792.768174466
308897855,725500.5144053292,3162890.1752083586
277419868,725325.750109278,3163104.613011938
10209450955,725370.1270656569,3163137.132756035
277420414,726370.2645418381,3162984.6342936787
1987490179,726227.3790928256,3162899.7811792106
1987490177,726193.7201194688,3162901.2487278963
278164996,727003.1245606455,3163550.7205971843
841773942,727056.1685424643,3163598.815980611
283639839,727642.3263428338,3162514.2972133164
1818312418,727598.4898939334,3162562.4082165346
5482019997,727617.8869388964,3162511.6934216474
283640017,730190.2931289886,3167103.1784464796
9827873818,730095.7120571891,3167143.6282312023
851995407,730195.9822299364,3167129.3026615065
300136287,727927.7177486522,3163584.5390626914
3891693494,727919.4889968039,3163593.9696946642
3891693490,727844.0243106254,3163511.7273153365
301037157,729192.6273188238,3165797.2725900575
841778034,729127.668999837,3165791.86436557
301037158,729794.0368359867,3166920.5285243695
851867172,729806.0603010096,3166860.8792527574
851867860,729783.2811619374,3166918.653984138
301037164,732006.9040633737,3167070.015405124
6755829662,731987.0376046672,3167070.186727319
301037167,732009.8636069475,3167080.1420751987
6192037419,732010.3904801918,3167087.6147856223
301037170,732026.1292806396,3167069.121757006
4676813713,732023.1518313801,3167005.162253756
301037171,732026.7387525426,3167079.334856048
4676813717,732107.7536542427,3167075.0439105104
301037177,726427.4570271433,3163727.96174888
841773881,726417.1145193316,3163737.4522314947
850010209,726253.3244847708,3163581.16695559
307369559,729718.9959668217,3164366.523073475
4950886792,729726.6427363253,3164356.38366015
7256804855,729696.8342963011,3164347.29429578
307369586,731316.9972378081,3165809.159707412
11397521670,731314.1312295828,3165812.562483507
307369628,731323.3616733897,3165815.406115859
12250242892,731397.3801401095,3165884.2183693456
307369643,730916.6463925479,3166066.285262847
851995554,730919.023851025,3166079.194209564
851867854,730470.9645408815,3166020.206859653
308729333,734077.4410352989,3158675.7838404323
799269364,734062.9617911294,3158667.289725644
799269179,734136.1061548718,3158657.062673992
308729713,728837.0393503075,3163627.157730366
9843232914,728841.857750535,3163631.5095998445
2403406654,728805.8448437657,3163662.328161333
308730069,731107.7608412602,3163736.048646191
802911511,730934.9538977238,3163934.992965311
12888515577,731358.6924495166,3163947.9944829745
308896083,727211.4953418472,3164420.017217982
841773895,727266.7370169591,3164355.1738448013
841773816,727155.4701485161,3164375.4995827423
848553971,727328.460849046,3164520.458253509
308896309,727711.3752017077,3165582.62729636
848529986,727696.8350899189,3165567.4757296517
847791446,727779.4268087632,3165650.356156912
308896310,727257.8766823938,3165188.8798643714
9861799789,727235.6459995246,3165164.5431868723
308896315,727562.5420815541,3164725.8932344588
841773842,727489.2853591394,3164660.759404869
848554048,727487.9537397786,3164823.910354051
9843336464,727567.8263173926,3164730.4421341913
308896367,727343.5028602472,3163843.718075813
841774116,727272.0224966252,3163926.6847058935
12285200219,727390.7263114376,3163885.9920642255
308896476,728938.4201371085,3162439.9250868536
498727754,728519.5629164379,3162916.7435654076
833238929,729067.7818623481,3162553.597695931
1827509741,728851.157385453,3162363.2557716174
308896531,728128.7188943119,3162578.7443558346
832671998,728123.867405285,3162574.547428038
832689019,728360.1273523303,3162299.2763850396
308896638,729292.9522120554,3162745.042951895
833271074,729283.6850237724,3162737.4327259203
6646317613,729307.1793659523,3162728.789656495
308897843,726039.9374843385,3162609.5500195413
11093510942,725848.4143108367,3162884.7718767477
308897943,725900.0173858653,3162845.076100255
441879029,725969.8342846283,3162743.5754836667
308897978,726230.0608349694,3162926.1325626266
851689933,726419.4067430296,3163045.4680824135
308898110,725821.9871529201,3162957.3730910323
11093510956,725863.7452002617,3162897.2859523306
308898943,727204.0784070733,3162454.906883958
9843602713,727191.2674902198,3162455.8225834393
1987490160,727252.6984248398,3162211.1138589247
544165308,727301.9483169966,3162447.957856914
308899092,727313.3290938885,3162642.2781144534
544165172,727312.7769037196,3162619.7928444077
308899179,727321.0127361853,3162725.484422294
10047814941,727220.8547422718,3162647.1695081578
308899094,727365.7721027063,3162617.6393688093
308900197,727365.4192354634,3162606.0681541367
836074253,727365.9432185467,3162622.9425624977
308899095,727353.7940556551,3162413.28421774
544165174,727361.4592194196,3162475.257431677
3730725289,727300.7397797912,3162413.8955036127
6442183404,727400.0975342167,3162368.1473693186
836074200,727368.533527868,3162802.611963707
308899190,727362.6665349542,3162514.9190220716
1987490162,727305.8726809039,3162516.588588984
308900196,727436.2894397556,3162537.281796786
836074258,727391.0778702163,3162581.1535063004
836074199,727457.0329845027,3162556.810734719
308900200,727371.2614484106,3162476.04644067
568266372,727436.2145316193,3162409.5733507974
312102938,728092.0050492699,3164476.2164499615
836339744,728080.4856809924,3164466.2015364678
315999106,725548.4737952864,3162876.973373905
10240222788,725782.6223759798,3162986.250891711
315999134,725901.1152135411,3162807.4441805673
316066258,729781.6990854715,3166928.457830222
851866926,729792.4888849832,3166930.0891073802
316066276,730044.9810462601,3166990.36005462
851867128,730079.8766852873,3167015.53977277
4772203025,730072.753891713,3167083.6455789646
316070966,730112.760833741,3167024.591491689
851866978,730095.7954778161,3167010.6084403903
9662269127,730210.3203845033,3166913.9142136704
316070982,729027.2767475783,3165294.5851901164
316070983,729016.5259038866,3165300.883280504
847577502,728977.2573555879,3165247.7471901574
847577475,729162.6157912484,3165193.209510985
847745283,729118.6501666168,3165416.9315765346
802969107,726064.4314398565,3162604.2461847453
476991969,727456.1980244818,3163032.7079226323
836083293,727438.8928602039,3163053.3939184695
476992013,727492.4589345508,3162986.489508145
836083246,727477.2214671124,3163049.869674974
1827522810,727430.645976612,3163011.854788645
476991988,727605.6854072514,3162770.8622112
9843573793,727677.7536909194,3162772.3960852623
1832086796,727594.2360959547,3162858.3649524804
9841200170,727502.4763266634,3162994.8224223643
11001027763,727464.5341180217,3162971.3890323443
476992021,727387.3564877049,3162944.2224001
836083135,727372.9750737157,3162964.044991267
1827522792,727418.7321962256,3162949.4662839314
1827522791,727338.4529295857,3162936.8532214356
476992039,727511.926330473,3163149.2347670663
9841200167,727567.9938238587,3163079.52977439
1827522827,727487.7173913012,3163129.294579853
1827522828,727554.0072915284,3163183.2820415436
833291028,728512.3523618281,3162926.615054056
1827509805,728432.1918933736,3162841.1838969844
544165041,729565.4047647866,3162392.4779518107
833270984,729432.9962941118,3162565.39184904
544165097,729595.8902644479,3162413.2330435864
544165061,729605.8043076929,3162345.40387967
803874339,729583.5410520831,3162347.1185272965
544165067,729628.7358413249,3162364.5252182772
803929546,729704.57931073,3162258.0838294914
544165073,729630.6380952497,3162387.8246658086
544165094,729607.2932912488,3162411.760136159
12747520203,729806.9383336378,3162581.382444799
544165164,728140.606531352,3162175.9506831407
832672001,728148.1234540651,3162187.0405967995
832672156,728423.522702568,3161954.122409201
544165333,728793.7162896321,3162312.782259714
1827522708,728744.0117762984,3162269.112772213
11027355580,728785.0383764077,3162323.0795585746
544165354,727208.8227992265,3162647.8009188226
836074187,727068.7827273699,3162805.9657610552
544174044,727732.4135374348,3159810.917078723
9855412309,727718.0222679661,3159819.4521836005
9855412293,727674.1807075487,3159755.423743355
6640044389,727442.7799728462,3162416.2536076615
568285980,728216.1660878137,3160295.416919901
799242058,728145.6225893713,3160365.6476366734
11250416665,728204.3715677722,3160279.6978901513
6191974706,728632.0542384507,3159882.0014489163
571762487,729682.5794874062,3158083.360386692
3832408575,729691.9019874583,3158086.337001548
9821710016,729524.8947585488,3158442.387661498
670710795,728462.0404245355,3164054.3058976308
3891693503,728454.1527827359,3164063.299318814
841516179,728264.7202305569,3163881.424636443
712869258,733932.6766237481,3158945.340819529
799268951,733961.335962632,3158887.4672387377
9625462632,734041.3038254442,3159047.0124005117
712869283,732876.8389817897,3157517.897293644
853985617,732859.7589553733,3157493.7857659734
799241709,732867.8217389784,3157525.202724516
712889006,733764.4902829609,3156338.760211147
802332429,733670.0537164777,3156201.684124881
